Distance from Lap Line (m),Elevation (m),UTMX,UTMY,LongX,LatY
415.000,206.0019,435817.0505,296094.7817,18.0941865,50.52839725
416.000,205.9886,435816.0531,296094.8539,18.09417242,50.52839779
417.000,206.0175,435815.0582,296094.9551,18.09415836,50.52839859
418.000,205.9977,435814.0636,296095.0584,18.09414431,50.52839941
419.000,205.9808,435813.072,296095.1877,18.09413029,50.52840046
420.000,205.9915,435812.0805,296095.3183,18.09411628,50.52840153
421.000,206.0075,435811.0903,296095.4576,18.09410228,50.52840268
422.000,205.9872,435810.1011,296095.6035,18.0940883,50.52840388
423.000,205.9879,435809.1162,296095.7767,18.09407437,50.52840533
424.000,205.9797,435808.1333,296095.96,18.09406047,50.52840687
425.000,205.9793,435807.1554,296096.1692,18.09404664,50.52840864
426.000,205.9799,435806.1805,296096.3911,18.09403284,50.52841053
427.000,205.9718,435805.2106,296096.6348,18.09401911,50.52841262
428.000,205.9712,435804.2459,296096.8973,18.09400545,50.52841487
429.000,205.9214,435803.2875,296097.1826,18.09399188,50.52841733
430.000,205.9919,435802.3357,296097.4888,18.0939784,50.52841998
431.000,205.9551,435801.3898,296097.8131,18.09396499,50.5284228
432.000,205.93,435800.4553,296098.1682,18.09395174,50.52842589
433.000,205.9519,435799.5275,296098.5412,18.09393859,50.52842914
434.000,205.9352,435798.6132,296098.9457,18.09392562,50.52843268
435.000,205.948,435797.704,296099.3621,18.09391272,50.52843633
436.000,205.9256,435796.8141,296099.8178,18.09390008,50.52844033
437.000,205.9221,435795.9283,296100.2818,18.0938875,50.5284444
438.000,205.91,435795.0762,296100.8049,18.09387539,50.52844901
439.000,205.9022,435794.2277,296101.334,18.09386332,50.52845368
440.000,205.9024,435793.408,296101.9068,18.09385166,50.52845874
441.000,205.9076,435792.5924,296102.4851,18.09384005,50.52846385
442.000,205.8952,435791.8024,296103.0983,18.09382879,50.52846928
443.000,205.9126,435791.0218,296103.7228,18.09381767,50.52847482
444.000,205.9097,435790.2704,296104.3826,18.09380695,50.52848067
445.000,205.8889,435789.5323,296105.0568,18.09379642,50.52848665
446.000,205.8921,435788.8185,296105.7572,18.09378623,50.52849287
447.000,205.9147,435788.1161,296106.4687,18.09377619,50.52849919
448.000,205.9038,435787.4273,296107.1937,18.09376635,50.52850564
449.000,205.9033,435786.7485,296107.9278,18.09375664,50.52851217
450.000,205.8973,435786.0779,296108.6697,18.09374705,50.52851877
451.000,205.8844,435785.4136,296109.4171,18.09373755,50.52852542
452.000,205.8976,435784.7531,296110.168,18.0937281,50.5285321
453.000,205.89,435784.0877,296110.9145,18.09371858,50.52853874
454.000,205.8798,435783.4201,296111.6589,18.09370903,50.52854536
455.000,205.8808,435782.7476,296112.399,18.09369942,50.52855195
456.000,205.88,435782.0732,296113.1375,18.09368977,50.52855852
457.000,205.87,435781.3895,296113.8672,18.09368,50.528565
458.000,205.8654,435780.7028,296114.5941,18.09367018,50.52857147
459.000,205.8484,435779.9845,296115.2894,18.09365993,50.52857764
460.000,205.8356,435779.2572,296115.9757,18.09364955,50.52858374
461.000,205.8323,435778.5083,296116.6382,18.09363887,50.52858961
462.000,205.8373,435777.7533,296117.2939,18.0936281,50.52859543
463.000,205.8107,435776.9806,296117.9285,18.09361709,50.52860105
464.000,205.8042,435776.2026,296118.5568,18.093606,50.52860662
465.000,205.8064,435775.4022,296119.1559,18.0935946,50.52861192
466.000,205.7968,435774.5951,296119.7463,18.09358311,50.52861714
467.000,205.7907,435773.7664,296120.3056,18.09357132,50.52862208
468.000,205.7843,435772.9311,296120.8553,18.09355944,50.52862693
469.000,205.7854,435772.0799,296121.38,18.09354734,50.52863156
470.000,205.77,435771.2235,296121.8963,18.09353516,50.52863611
471.000,205.76,435770.3533,296122.3888,18.0935228,50.52864044
472.000,205.7756,435769.4783,296122.8728,18.09351037,50.5286447
473.000,205.763,435768.5889,296123.3296,18.09349774,50.52864871
474.000,205.749,435767.6943,296123.7764,18.09348504,50.52865263
475.000,205.76,435766.786,296124.1943,18.09347215,50.52865629
476.000,205.7508,435765.8726,296124.6014,18.09345919,50.52865985
477.000,205.7503,435764.9482,296124.9823,18.09344608,50.52866318
478.000,205.732,435764.0194,296125.353,18.09343291,50.52866641
479.000,205.7324,435763.0805,296125.6966,18.0934196,50.5286694
480.000,205.75,435762.1377,296126.0301,18.09340624,50.52867229
481.000,205.7345,435761.1885,296126.3446,18.09339279,50.52867502
482.000,205.7253,435760.237,296126.6522,18.09337931,50.52867768
483.000,205.7448,435759.2806,296126.9439,18.09336576,50.5286802
484.000,205.7211,435758.3224,296127.2303,18.09335219,50.52868267
485.000,205.7324,435757.3572,296127.4912,18.09333853,50.52868491
486.000,205.7227,435756.3898,296127.7446,18.09332483,50.52868708
487.000,205.73,435755.4179,296127.9797,18.09331108,50.52868909
488.000,205.726,435754.4448,296128.2102,18.09329731,50.52869106
489.000,205.7267,435753.469,296128.4285,18.0932835,50.52869291
490.000,205.7074,435752.4925,296128.6442,18.09326968,50.52869475
491.000,205.7113,435751.5106,296128.8334,18.09325579,50.52869634
492.000,205.7335,435750.5278,296129.0178,18.09324189,50.52869789
493.000,205.697,435749.5418,296129.1847,18.09322795,50.52869928
494.000,205.7083,435748.5554,296129.349,18.093214,50.52870065
495.000,205.7,435747.5659,296129.4934,18.09320002,50.52870184
496.000,205.69,435746.5761,296129.6358,18.09318602,50.52870301
497.000,205.7067,435745.5846,296129.7657,18.09317201,50.52870407
498.000,205.6891,435744.593,296129.8948,18.09315799,50.52870513
499.000,205.6858,435743.5996,296130.01,18.09314396,50.52870605
500.000,205.7033,435742.6062,296130.1245,18.09312992,50.52870697
501.000,205.6781,435741.6103,296130.2151,18.09311585,50.52870768
502.000,205.6755,435740.6144,296130.3049,18.09310178,50.52870838
503.000,205.6555,435739.617,296130.3781,18.09308769,50.52870893
504.000,205.6607,435738.6196,296130.4499,18.09307361,50.52870946
505.000,205.6647,435737.6212,296130.5064,18.09305951,50.52870986
506.000,205.654,435736.6227,296130.5606,18.09304541,50.52871024
507.000,205.6537,435735.6233,296130.5955,18.0930313,50.52871044
508.000,205.6539,435734.6239,296130.6282,18.09301719,50.52871063
509.000,205.6505,435733.6241,296130.6471,18.09300308,50.52871069
510.000,205.6584,435732.6242,296130.6627,18.09298897,50.52871072
511.000,205.6411,435731.6242,296130.6628,18.09297486,50.52871061
512.000,205.6274,435730.6242,296130.6617,18.09296075,50.52871049
