elapsed_sec,MotorRPM,Speed,Speed_kmh,Distance_km
0.0,0,0,0.0,0.0
0.241,0,0,0.0,0.0
0.638,0,0,0.0,0.0
0.995,0,0,0.0,0.0
1.235,0,0,0.0,0.0
1.435,0,0,0.0,0.0
1.641,0,0,0.0,0.0
2.003,0,0,0.0,0.0
2.437,0,0,0.0,0.0
2.635,0,0,0.0,0.0
2.706,0,0,0.0,0.0
2.838,0,0,0.0,0.0
3.004,0,0,0.0,0.0
3.542,0,0,0.0,0.0
3.543,0,0,0.0,0.0
3.706,0,0,0.0,0.0
3.737,0,0,0.0,0.0
3.842,0,0,0.0,0.0
4.003,0,0,0.0,0.0
4.236,0,0,0.0,0.0
4.54,0,0,0.0,0.0
4.641,0,0,0.0,0.0
4.737,0,0,0.0,0.0
4.838,0,0,0.0,0.0
4.839,0,0,0.0,0.0
4.998,0,0,0.0,0.0
5.242,0,0,0.0,0.0
5.637,0,0,0.0,0.0
5.736,0,0,0.0,0.0
5.838,0,0,0.0,0.0
5.838,0,0,0.0,0.0
5.941,0,0,0.0,0.0
6.005,0,0,0.0,0.0
6.135,0,0,0.0,0.0
6.236,0,0,0.0,0.0
6.436,0,0,0.0,0.0
6.542,0,0,0.0,0.0
6.742,0,0,0.0,0.0
6.838,0,0,0.0,0.0
6.998,0,0,0.0,0.0
7.038,0,0,0.0,0.0
7.038,0,0,0.0,0.0
7.136,0,0,0.0,0.0
7.138,0,0,0.0,0.0
7.542,0,0,0.0,0.0
7.637,0,0,0.0,0.0
7.696,0,0,0.0,0.0
7.843,0,0,0.0,0.0
8.0,0,0,0.0,0.0
8.037,0,0,0.0,0.0
8.037,0,0,0.0,0.0
8.135,0,0,0.0,0.0
8.436,0,0,0.0,0.0
8.642,0,0,0.0,0.0
8.686,0,0,0.0,0.0
8.74,0,0,0.0,0.0
8.746,0,0,0.0,0.0
8.941,0,0,0.0,0.0
8.949,0,0,0.0,0.0
8.998,0,0,0.0,0.0
9.237,0,0,0.0,0.0
9.548,0,0,0.0,0.0
9.636,0,0,0.0,0.0
9.646,0,0,0.0,0.0
9.666,0,0,0.0,0.0
9.74,0,0,0.0,0.0
9.876,0,0,0.0,0.0
10.003,0,0,0.0,0.0
10.042,0,0,0.0,0.0
10.232,0,0,0.0,0.0
10.237,0,0,0.0,0.0
10.635,0,0,0.0,0.0
10.648,0,0,0.0,0.0
10.735,0,0,0.0,0.0
10.736,0,0,0.0,0.0
10.837,0,0,0.0,0.0
10.838,0,0,0.0,0.0
10.997,0,0,0.0,0.0
11.04,0,0,0.0,0.0
11.238,0,0,0.0,0.0
11.633,0,0,0.0,0.0
11.635,0,0,0.0,0.0
11.636,0,0,0.0,0.0
11.735,0,0,0.0,0.0
11.837,0,0,0.0,0.0
11.847,0,0,0.0,0.0
11.947,0,0,0.0,0.0
11.997,0,0,0.0,0.0
12.042,0,0,0.0,0.0
12.54,0,0,0.0,0.0
12.633,0,0,0.0,0.0
12.635,0,0,0.0,0.0
12.654,0,0,0.0,0.0
12.686,0,0,0.0,0.0
12.732,0,0,0.0,0.0
12.847,0,0,0.0,0.0
13.042,0,0,0.0,0.0
13.232,0,0,0.0,0.0
13.432,0,0,0.0,0.0
13.635,0,0,0.0,0.0
13.735,0,0,0.0,0.0
13.738,0,0,0.0,0.0
13.836,0,0,0.0,0.0
13.837,0,0,0.0,0.0
13.939,0,0,0.0,0.0
13.997,0,0,0.0,0.0
14.431,0,0,0.0,0.0
14.632,0,0,0.0,0.0
14.676,0,0,0.0,0.0
14.836,0,0,0.0,0.0
14.836,0,0,0.0,0.0
14.939,0,0,0.0,0.0
14.997,0,0,0.0,0.0
15.035,0,0,0.0,0.0
15.133,0,0,0.0,0.0
15.237,0,0,0.0,0.0
15.537,0,0,0.0,0.0
15.54,0,0,0.0,0.0
15.734,0,0,0.0,0.0
15.935,0,0,0.0,0.0
16.001,0,0,0.0,0.0
16.035,0,0,0.0,0.0
16.035,0,0,0.0,0.0
16.235,0,0,0.0,0.0
16.236,0,0,0.0,0.0
16.533,0,0,0.0,0.0
16.634,0,0,0.0,0.0
16.74,0,0,0.0,0.0
16.835,0,0,0.0,0.0
16.835,0,0,0.0,0.0
16.995,0,0,0.0,0.0
17.038,0,0,0.0,0.0
17.233,0,0,0.0,0.0
17.235,0,0,0.0,0.0
17.446,0,0,0.0,0.0
17.726,0,0,0.0,0.0
17.737,0,0,0.0,0.0
17.835,0,0,0.0,0.0
17.938,0,0,0.0,0.0
17.948,0,0,0.0,0.0
17.997,0,0,0.0,0.0
18.132,0,0,0.0,0.0
18.233,0,0,0.0,0.0
18.533,0,0,0.0,0.0
18.633,0,0,0.0,0.0
18.726,0,0,0.0,0.0
18.737,0,0,0.0,0.0
18.934,0,0,0.0,0.0
18.997,0,0,0.0,0.0
19.034,0,0,0.0,0.0
19.135,0,0,0.0,0.0
19.136,0,0,0.0,0.0
19.442,0,0,0.0,0.0
19.539,0,0,0.0,0.0
19.656,0,0,0.0,0.0
19.742,0,0,0.0,0.0
19.943,0,0,0.0,0.0
19.998,0,0,0.0,0.0
20.034,0,0,0.0,0.0
20.132,0,0,0.0,0.0
20.43,0,0,0.0,0.0
20.539,0,0,0.0,0.0
20.656,0,0,0.0,0.0
20.733,0,0,0.0,0.0
20.84,0,0,0.0,0.0
20.866,0,0,0.0,0.0
20.999,0,0,0.0,0.0
21.042,0,0,0.0,0.0
21.234,0,0,0.0,0.0
21.532,0,0,0.0,0.0
21.538,0,0,0.0,0.0
21.626,0,0,0.0,0.0
21.632,0,0,0.0,0.0
21.634,0,0,0.0,0.0
21.834,0,0,0.0,0.0
21.997,0,0,0.0,0.0
22.033,0,0,0.0,0.0
22.136,0,0,0.0,0.0
22.232,0,0,0.0,0.0
22.532,0,0,0.0,0.0
22.633,0,0,0.0,0.0
22.732,0,0,0.0,0.0
22.732,0,0,0.0,0.0
22.745,0,0,0.0,0.0
22.834,0,0,0.0,0.0
22.994,0,0,0.0,0.0
23.033,0,0,0.0,0.0
23.234,0,0,0.0,0.0
23.629,0,0,0.0,0.0
23.729,0,0,0.0,0.0
23.73,0,0,0.0,0.0
23.833,0,0,0.0,0.0
23.854,0,0,0.0,0.0
23.936,0,0,0.0,0.0
23.946,0,0,0.0,0.0
23.998,0,0,0.0,0.0
24.537,0,0,0.0,0.0
24.616,0,0,0.0,0.0
24.631,0,0,0.0,0.0
24.83,0,0,0.0,0.0
24.834,0,0,0.0,0.0
24.933,0,0,0.0,0.0
24.936,0,0,0.0,0.0
24.947,0,0,0.0,0.0
24.999,0,0,0.0,0.0
25.228,0,0,0.0,0.0
25.531,0,0,0.0,0.0
25.637,0,0,0.0,0.0
25.831,0,0,0.0,0.0
25.832,0,0,0.0,0.0
25.833,0,0,0.0,0.0
25.933,0,0,0.0,0.0
25.939,0,0,0.0,0.0
25.993,0,0,0.0,0.0
26.234,0,0,0.0,0.0
26.73,0,0,0.0,0.0
26.766,0,0,0.0,0.0
26.832,0,0,0.0,0.0
26.832,0,0,0.0,0.0
26.935,0,0,0.0,0.0
26.94,0,0,0.0,0.0
26.993,0,0,0.0,0.0
27.032,0,0,0.0,0.0
27.236,0,0,0.0,0.0
27.53,0,0,0.0,0.0
27.631,0,0,0.0,0.0
27.636,0,0,0.0,0.0
27.932,0,0,0.0,0.0
27.935,0,0,0.0,0.0
27.998,0,0,0.0,0.0
28.035,0,0,0.0,0.0
28.141,0,0,0.0,0.0
28.232,0,0,0.0,0.0
28.435,0,0,0.0,0.0
28.536,0,0,0.0,0.0
28.736,0,0,0.0,0.0
28.832,0,0,0.0,0.0
28.934,0,0,0.0,0.0
28.994,0,0,0.0,0.0
29.129,0,0,0.0,0.0
29.229,0,0,0.0,0.0
29.232,0,0,0.0,0.0
29.53,0,0,0.0,0.0
29.686,0,0,0.0,0.0
29.73,0,0,0.0,0.0
29.831,0,0,0.0,0.0
29.94,0,0,0.0,0.0
29.944,0,0,0.0,0.0
29.991,0,0,0.0,0.0
30.131,0,0,0.0,0.0
30.229,0,0,0.0,0.0
30.429,0,0,0.0,0.0
30.439,0,0,0.0,0.0
30.543,0,0,0.0,0.0
30.73,0,0,0.0,0.0
30.938,0,0,0.0,0.0
30.993,0,0,0.0,0.0
31.035,0,0,0.0,0.0
31.131,0,0,0.0,0.0
31.229,0,0,0.0,0.0
31.427,0,0,0.0,0.0
31.541,0,0,0.0,0.0
31.629,0,0,0.0,0.0
31.735,0,0,0.0,0.0
31.831,0,0,0.0,0.0
31.937,0,0,0.0,0.0
31.996,0,0,0.0,0.0
32.231,0,0,0.0,0.0
32.529,0,0,0.0,0.0
32.529,0,0,0.0,0.0
32.626,0,0,0.0,0.0
32.627,0,0,0.0,0.0
32.639,0,0,0.0,0.0
32.83,0,0,0.0,0.0
32.942,0,0,0.0,0.0
32.997,0,0,0.0,0.0
33.136,0,0,0.0,0.0
33.535,0,0,0.0,0.0
33.55,0,0,0.0,0.0
33.606,0,0,0.0,0.0
33.627,0,0,0.0,0.0
33.729,0,0,0.0,0.0
33.735,0,0,0.0,0.0
33.938,0,0,0.0,0.0
33.995,0,0,0.0,0.0
34.039,0,0,0.0,0.0
34.226,0,0,0.0,0.0
34.529,0,0,0.0,0.0
34.729,0,0,0.0,0.0
34.729,0,0,0.0,0.0
34.729,0,0,0.0,0.0
34.738,0,0,0.0,0.0
34.832,0,0,0.0,0.0
34.948,0,0,0.0,0.0
34.993,0,0,0.0,0.0
35.228,0,0,0.0,0.0
35.627,0,0,0.0,0.0
35.628,0,0,0.0,0.0
35.729,0,0,0.0,0.0
35.831,0,0,0.0,0.0
35.933,0,0,0.0,0.0
35.941,0,0,0.0,0.0
35.945,0,0,0.0,0.0
35.967,0,0,0.0,0.0
36.029,0,0,0.0,0.0
36.528,0,0,0.0,0.0
36.534,0,0,0.0,0.0
36.616,0,0,0.0,0.0
36.827,0,0,0.0,0.0
36.93,0,0,0.0,0.0
37.029,0,0,0.0,0.0
37.129,0,0,0.0,0.0
37.129,0,0,0.0,0.0
37.228,0,0,0.0,0.0
37.428,0,0,0.0,0.0
37.628,0,0,0.0,0.0
37.735,0,0,0.0,0.0
37.829,0,0,0.0,0.0
37.949,0,0,0.0,0.0
38.027,0,0,0.0,0.0
38.029,0,0,0.0,0.0
38.129,0,0,0.0,0.0
38.228,0,0,0.0,0.0
38.427,0,0,0.0,0.0
