elapsed_sec,MotorRPM,Speed,Speed_kmh,Distance_km,data_source
0.0,528.0,20.0,2.286,0.0,real
0.0909999999998945,158.0,1.0,0.1143,2.8892499999966503e-06,real
0.2019999999997708,528.0,35.0,4.0005,0.0001262379999998,real
0.2179999999998472,0.0,0.0,0.0,0.0001262379999998,real
0.2899999999999636,528.0,6.0,0.6858,0.0001399539999998,real
0.4890000000000327,0.0,0.0,0.0,0.0001399539999998,real
0.793999999999869,0.0,0.0,0.0,0.0001399539999998,real
0.8889999999996689,0.0,0.0,0.0,0.0001399539999998,real
0.8889999999996689,0.0,0.0,0.0,0.0001399539999998,real
1.087999999999738,0.0,0.0,0.0,0.0001399539999998,real
1.1909999999998035,528.0,20.0,2.286,0.0002053589999999,real
1.223999999999705,0.0,0.0,0.0,0.0002053589999999,real
1.2909999999997126,52.0,0.0,0.0,0.0002053589999999,real
1.293999999999869,528.0,5.0,0.5715,0.0002058352499999,real
1.3949999999999818,0.0,0.0,0.0,0.0002058352499999,real
1.78899999999976,0.0,0.0,0.0,0.0002058352499999,real
1.888999999999669,0.0,0.0,0.0,0.0002058352499999,real
1.8949999999999816,0.0,0.0,0.0,0.0002058352499999,real
1.9899999999997815,0.0,0.0,0.0,0.0002058352499999,real
2.0899999999996908,0.0,0.0,0.0,0.0002058352499999,real
2.237999999999829,0.0,0.0,0.0,0.0002058352499999,real
2.3899999999998727,0.0,0.0,0.0,0.0002058352499999,real
2.4899999999997817,528.0,5.0,0.5715,0.0002217102499999,real
2.493999999999687,0.0,0.0,0.0,0.0002217102499999,real
2.688999999999851,0.0,0.0,0.0,0.0002217102499999,real
2.882000000000062,0.0,0.0,0.0,0.0002217102499999,real
2.9890000000000327,0.0,0.0,0.0,0.0002217102499999,real
3.0899999999996908,0.0,0.0,0.0,0.0002217102499999,real
3.0899999999996908,0.0,0.0,0.0,0.0002217102499999,real
3.2029999999999745,0.0,0.0,0.0,0.0002217102499999,real
3.268000000000029,0.0,0.0,0.0,0.0002217102499999,real
3.289999999999964,0.0,0.0,0.0,0.0002217102499999,real
3.487999999999829,0.0,0.0,0.0,0.0002217102499999,real
3.78899999999976,0.0,0.0,0.0,0.0002217102499999,real
3.882000000000062,0.0,0.0,0.0,0.0002217102499999,real
3.894999999999982,0.0,0.0,0.0,0.0002217102499999,real
4.089999999999691,0.0,0.0,0.0,0.0002217102499999,real
4.188999999999851,0.0,0.0,0.0,0.0002217102499999,real
4.28899999999976,0.0,0.0,0.0,0.0002217102499999,real
4.289999999999964,0.0,0.0,0.0,0.0002217102499999,real
4.684999999999945,52.0,0.0,0.0,0.0002217102499999,real
4.692000000000007,0.0,0.0,0.0,0.0002217102499999,real
4.791999999999916,0.0,0.0,0.0,0.0002217102499999,real
4.993999999999687,0.0,0.0,0.0,0.0002217102499999,real
5.089999999999691,0.0,0.0,0.0,0.0002217102499999,real
5.195999999999913,0.0,0.0,0.0,0.0002217102499999,real
5.388999999999669,0.0,0.0,0.0,0.0002217102499999,real
5.688000000000102,211.0,2.0,0.2286,0.0002406967499999,real
5.791999999999916,0.0,0.0,0.0,0.0002406967499999,real
5.991999999999734,0.0,0.0,0.0,0.0002406967499999,real
6.089999999999691,0.0,0.0,0.0,0.0002406967499999,real
6.201000000000022,0.0,0.0,0.0,0.0002406967499999,real
6.388999999999669,0.0,0.0,0.0,0.0002406967499999,real
6.798999999999978,316.0,3.0,0.3429,0.0002797492499999,real
6.888999999999669,0.0,0.0,0.0,0.0002797492499999,real
6.891999999999825,0.0,0.0,0.0,0.0002797492499999,real
7.28899999999976,0.0,0.0,0.0,0.0002797492499999,real
7.388999999999669,0.0,0.0,0.0,0.0002797492499999,real
7.98700000000008,422.0,4.0,0.4572,0.00035569525,real
7.993999999999687,0.0,0.0,0.0,0.00035569525,real
8.192000000000007,0.0,0.0,0.0,0.00035569525,real
8.192000000000007,0.0,0.0,0.0,0.00035569525,real
8.998999999999796,528.0,5.0,0.5715,0.0004838065,real
9.0949999999998,0.0,0.0,0.0,0.0004838065,real
9.20199999999977,0.0,0.0,0.0,0.0004838065,real
10.186999999999898,528.0,5.0,0.5715,0.00064017525,real
10.288000000000013,0.0,0.0,0.0,0.00064017525,real
11.199999999999818,528.0,5.0,0.5715,0.0007849552499999,real
24.277999999999796,528.0,295.0,33.7185,0.1232767727499997,real
24.48799999999983,528.0,295.0,33.7185,0.1252436852500001,real
25.253999999999905,528.0,306.2117235345582,35.0,0.132690907472223,real
25.480999999999767,528.0,306.2117235345582,35.0,0.1348978519166661,real
25.68199999999979,528.0,298.0,34.0614,0.1367996134166663,real
26.233999999999924,528.0,305.0,34.8615,0.1421450434166676,real
26.68199999999979,528.0,304.0,34.7472,0.1464691394166663,real
26.751999999999956,528.0,305.0,34.8615,0.1471470019166679,real
26.811999999999895,528.0,306.2117235345582,35.0,0.1477303352500007,real
27.23700000000008,528.0,305.0,34.8615,0.1518459290000025,real
27.751999999999956,528.0,305.0,34.8615,0.1568330602500013,real
27.78099999999995,528.0,305.0,34.8615,0.1571138890000012,real
27.78099999999995,528.0,306.2117235345582,35.0,0.1571138890000012,real
27.790999999999716,528.0,306.2117235345582,35.0,0.1572111112222211,real
28.23700000000008,528.0,295.0,33.7185,0.1613884587222246,real
28.478000000000065,528.0,295.0,33.7185,0.1636457249722245,real
28.68399999999974,528.0,305.0,34.8615,0.1656405774722213,real
28.786999999999807,528.0,306.2117235345582,35.0,0.1666419663611109,real
28.880999999999855,528.0,304.0,34.7472,0.1675492543611113,real
28.98700000000008,528.0,306.2117235345582,35.0,0.168579809916669,real
29.23299999999972,528.0,295.0,33.7185,0.1708839074166657,real
29.751999999999956,528.0,295.0,33.7185,0.1757449911666679,real
29.751999999999956,528.0,295.0,33.7185,0.1757449911666679,real
29.78499999999985,528.0,302.0,34.5186,0.1760614116666669,real
29.97899999999981,528.0,305.0,34.8615,0.1779400591666665,real
29.97899999999981,528.0,306.2117235345582,35.0,0.1779400591666665,real
30.083000000000084,528.0,306.2117235345582,35.0,0.1789511702777803,real
30.24199999999973,528.0,280.0,32.004,0.1803646802777772,real
30.74199999999973,528.0,280.0,32.004,0.1848096802777772,real
30.799999999999727,528.0,305.0,34.8615,0.1853713377777771,real
30.878999999999905,528.0,300.0,34.29,0.1861238127777788,real
30.880999999999855,528.0,293.0,33.4899,0.1861424182777783,real
30.880999999999855,528.0,295.0,33.7185,0.1861424182777783,real
31.079999999999927,528.0,306.2117235345582,35.0,0.1880771405000012,real
31.184999999999945,528.0,306.2117235345582,35.0,0.1890979738333347,real
31.240999999999985,528.0,280.0,32.004,0.1895958138333351,real
31.478000000000065,528.0,280.0,32.004,0.1917027438333358,real
31.88000000000011,528.0,280.0,32.004,0.1952765238333362,real
31.880999999999855,528.0,295.0,33.7185,0.1952858900833338,real
31.88400000000001,528.0,290.0,33.147,0.1953135125833353,real
31.983999999999924,528.0,298.0,34.0614,0.1962596625833344,real
32.07999999999993,528.0,305.0,34.8615,0.1971893025833344,real
32.083000000000084,528.0,305.0,34.8615,0.197218353833336,real
32.19499999999971,528.0,306.2117235345582,35.0,0.1983072427222212,real
32.23299999999972,528.0,270.0,30.861,0.1986329977222213,real
32.67999999999984,528.0,279.0,31.8897,0.2025926354722223,real
32.741999999999734,528.0,270.0,30.861,0.2031241304722215,real
32.88599999999997,528.0,280.0,32.004,0.2044042904722235,real
33.08199999999988,528.0,287.0,32.8041,0.2061902914722227,real
33.08199999999988,528.0,295.0,33.7185,0.2061902914722227,real
33.085999999999785,528.0,296.0,33.8328,0.2062278834722218,real
33.18399999999974,528.0,305.0,34.8615,0.2071768909722214,real
33.19699999999966,528.0,305.0,34.8615,0.2073027797222206,real
33.23799999999983,528.0,270.0,30.861,0.2076542522222221,real
33.48000000000002,528.0,270.0,30.861,0.2097287972222237,real
33.78600000000006,528.0,270.0,30.861,0.212351982222224,real
33.98000000000002,528.0,277.0,31.6611,0.2140581637222237,real
33.98000000000002,528.0,280.0,32.004,0.2140581637222237,real
34.07899999999972,528.0,295.0,33.7185,0.2149854224722209,real
34.08199999999988,528.0,284.0,32.4612,0.2150124734722223,real
34.22699999999986,528.0,260.0,29.718,0.2162094484722222,real
34.2819999999997,528.0,305.0,34.8615,0.2167420547222206,real
34.38099999999986,528.0,295.0,33.7185,0.2176693134722221,real
34.478999999999814,528.0,260.0,29.718,0.2184783034722217,real
34.779,528.0,269.0,30.7467,0.2210405284722233,real
34.884000000000015,528.0,275.0,31.4325,0.2219573097222235,real
34.88599999999997,528.0,270.0,30.861,0.2219744547222231,real
35.07999999999993,528.0,295.0,33.7185,0.2237915072222227,real
35.18399999999974,528.0,280.0,32.004,0.2247160672222211,real
35.22699999999986,528.0,250.0,28.575,0.225057379722222,real
35.28099999999995,528.0,281.0,32.1183,0.2255391542222228,real
35.38099999999986,528.0,295.0,33.7185,0.2264757792222219,real
35.48499999999967,528.0,250.0,28.575,0.2273012792222205,real
35.73199999999997,528.0,260.0,29.718,0.2293402642222229,real
35.7829999999999,528.0,267.0,30.5181,0.2297726039722223,real
36.08099999999968,528.0,270.0,30.861,0.2323272089722204,real
36.18399999999974,528.0,273.0,31.2039,0.233219987222221,real
36.1880000000001,528.0,295.0,33.7185,0.2332574522222243,real
36.190000000000055,528.0,280.0,32.004,0.2332752322222239,real
36.23399999999992,528.0,250.0,28.575,0.2336244822222229,real
36.38000000000011,528.0,280.0,32.004,0.2349224222222246,real
36.47899999999981,528.0,250.0,28.575,0.2357082347222222,real
36.684999999999945,528.0,250.0,28.575,0.2373433597222232,real
36.779,528.0,257.0,29.3751,0.2381103762222237,real
36.784999999999854,528.0,265.0,30.2895,0.2381608587222225,real
36.98000000000002,528.0,270.0,30.861,0.2398324962222239,real
37.23299999999972,528.0,240.0,27.432,0.2417603562222216,real
37.28099999999995,528.0,271.0,30.9753,0.2421733602222236,real
37.38000000000011,528.0,280.0,32.004,0.243053470222225,real
37.38000000000011,528.0,280.0,32.004,0.243053470222225,real
37.38200000000006,528.0,240.0,27.432,0.2430687102222246,real
37.67599999999993,528.0,249.0,28.4607,0.2453930007222236,real
37.779,528.0,250.0,28.575,0.2462105632222241,real
37.88000000000011,528.0,255.0,29.1465,0.247028284472225,real
37.98499999999967,528.0,263.0,30.0609,0.2479050607222214,real
38.185999999999694,528.0,270.0,30.861,0.2496281332222216,real
38.1869999999999,528.0,270.0,30.861,0.2496367057222233,real
38.24099999999999,528.0,230.00000000000003,26.289,0.250031040722224,real
38.38000000000011,528.0,280.0,32.004,0.2512667507222251,real
38.68399999999974,528.0,247.0,28.2321,0.2536507947222222,real
38.72199999999975,528.0,239.0,27.3177,0.2539391482222223,real
38.72199999999975,528.0,230.00000000000003,26.289,0.2539391482222223,real
38.87899999999991,528.0,250.0,28.575,0.2551853357222235,real
38.97899999999981,528.0,253.0,28.9179,0.2559886107222228,real
39.08099999999968,528.0,261.0,29.8323,0.2568338592222216,real
39.18199999999979,528.0,230.00000000000003,26.289,0.2575714117222225,real
39.23599999999988,528.0,240.0,27.432,0.2579828917222231,real
39.28600000000006,528.0,270.0,30.861,0.2584115167222247,real
39.48000000000002,528.0,270.0,30.861,0.2600745817222243,real
39.72199999999975,528.0,240.0,27.432,0.2619186217222223,real
39.779,528.0,245.0,28.0035,0.2623620104722242,real
39.779,528.0,237.0,27.0891,0.2623620104722242,real
39.8779999999997,528.0,231.0,26.4033,0.2630881012222221,real
39.88299999999981,528.0,250.0,28.575,0.263127788722223,real
40.07999999999993,528.0,251.0,28.6893,0.2646977309722239,real
40.27999999999975,528.0,260.0,29.718,0.2663487309722224,real
40.2829999999999,528.0,270.0,30.861,0.2663744484722238,real
40.47499999999991,528.0,230.00000000000003,26.289,0.2677765284722238,real
40.67599999999993,528.0,239.0,27.3177,0.269301766722224,real
40.88200000000006,528.0,233.0,26.6319,0.270825703222225,real
40.88499999999976,528.0,235.0,26.8605,0.2708480869722228,real
40.97899999999981,528.0,243.0,27.7749,0.2715733204722231,real
41.07999999999993,528.0,250.0,28.575,0.272375007972224,real
41.08099999999968,528.0,250.0,28.575,0.272382945472222,real
41.24199999999973,528.0,225.0,25.7175,0.2735330892222224,real
41.38000000000011,528.0,260.0,29.718,0.2746722792222256,real
41.47800000000007,528.0,225.0,25.7175,0.2753723667222252,real
41.67599999999993,528.0,237.0,27.0891,0.2768622672222242,real
41.771999999999935,528.0,230.00000000000003,26.289,0.2775633072222243,real
41.98799999999983,528.0,241.0,27.5463,0.2792160852222234,real
42.07899999999972,528.0,235.0,26.8605,0.2798950589722226,real
42.07999999999993,528.0,233.0,26.6319,0.2799024567222242,real
42.1880000000001,528.0,250.0,28.575,0.2807597067222255,real
42.19200000000001,528.0,250.0,28.575,0.2807914567222248,real
42.26699999999983,528.0,225.0,25.7175,0.2813272379722235,real
42.771999999999935,528.0,225.0,25.7175,0.2849348317222243,real
42.77799999999979,528.0,235.0,26.8605,0.2849795992222232,real
42.8779999999997,528.0,228.0,26.0604,0.2857034992222226,real
42.8779999999997,528.0,237.0,27.0891,0.2857034992222226,real
42.8779999999997,528.0,225.0,25.7175,0.2857034992222226,real
43.17900000000009,528.0,240.0,27.432,0.2879971192222255,real
43.17900000000009,528.0,231.0,26.4033,0.2879971192222255,real
43.19200000000001,528.0,250.0,28.575,0.2881003067222249,real
43.26600000000008,528.0,250.0,28.575,0.2886876817222255,real
43.375,528.0,250.0,28.575,0.2895528692222249,real
43.77500000000009,528.0,227.0,25.9461,0.2924357692222255,real
43.88099999999986,528.0,225.0,25.7175,0.2931930067222238,real
43.884000000000015,528.0,227.0,25.9461,0.293214628472225,real
43.99699999999984,528.0,230.00000000000003,26.289,0.2940398109722237,real
