time_s,velocity_ms,velocity_kmh,dist_in_lap_m,lap_num,elevation_m,grade,P_elec_W
0.2,0.5803979871544489,2.0894327537560162,0.0,1,205.36240680472147,0.003071185299855556,350.0
0.4,0.8488770088783648,3.0559572319621133,0.07644046688833668,1,205.36264814705032,0.0030828269947182733,350.0
0.6000000000000001,1.1048514560717067,3.977465241858144,0.22931894654411922,1,205.3631308239597,0.0031061100106871404,350.0
0.8,1.3483213287344744,4.853956783444108,0.4586235087187667,1,205.36385479778278,0.003141032530814678,350.0
1.0,1.579286626866668,5.6854318567200055,0.7506201353741346,1,205.3647767066716,0.0031855028979754438,350.0
1.2,1.7977473504682875,6.4718904616858355,1.0910494067049377,1,205.36586292725846,0.0032362152871184655,350.0
1.4,2.003703499539333,7.213332598341598,1.4724751215672218,1,205.3671149327153,0.003289554281594696,350.0
1.5999999999999999,2.197155074079804,7.9097582666872945,1.8900659273201286,1,205.36848564776452,0.0033479506424415814,350.0
1.7999999999999998,2.3781020740897016,8.561167466722926,2.3403375403300073,1,205.37000377883885,0.003406802262703638,350.0
1.9999999999999998,2.546544499569025,9.167560198448491,2.820613267141192,1,205.37163690243153,0.003468157764785482,350.0
2.1999999999999997,2.702482350517742,9.728936461863873,3.3287493723387946,1,205.37340116323674,0.0035292179821794075,350.0
2.4,2.8183437732053878,10.146037583539396,3.862974972840517,1,205.3752768900137,0.0035912020153256556,350.0
2.6,2.9257541998346723,10.53271511940482,4.421793840578819,1,205.3772826224285,0.003651248464416548,350.0
2.8000000000000003,3.0306203367859412,10.91023321242939,5.003918190567707,1,205.37938715455428,0.00371213473169592,350.0
3.0000000000000004,3.1335673703975786,11.280842533431283,5.608224325342578,1,205.38162966760015,0.0037687427441816523,350.0
3.2000000000000006,3.2333254858188587,11.639971748947891,6.233718854688119,1,205.38397162095342,0.003824851853782934,350.0
3.400000000000001,3.3297335668057335,11.98704084050064,6.879516579238356,1,205.38642561259067,0.003878483721311875,350.0
3.600000000000001,3.422896302644477,12.322426689520118,7.544820650545935,1,205.38899830646758,0.00392814512317831,350.0
