elapsed_sec,MotorRPM,Speed,Speed_kmh,Distance_km,data_source,inc_angle_deg
0.0,528.0,21.44163090128753,2.450778412017165,0.0,real,0.5
0.0848816029142914,158.0,1.0720815450643766,0.1225389206008582,2.8892499999966507e-06,real,0.5
0.1884185031723879,528.0,37.52285407725318,4.288862221030039,0.0001262379999998,real,0.5
0.2033427410475168,0.0,0.0,0.0,0.0001262379999998,real,0.5
0.2705018114853844,528.0,6.432489270386259,0.7352335236051494,0.0001399539999998,real,0.5
0.4561220200564773,0.0,0.0,0.0,0.0001399539999998,real,0.5
0.7406153045496094,0.0,0.0,0.0,0.0001399539999998,real,0.5
0.829227966932577,0.0,0.0,0.0,0.0001399539999998,real,0.5
0.829227966932577,0.0,0.0,0.0,0.0001399539999998,real,0.5
1.01484817550367,0.0,0.0,0.0,0.0001399539999998,real,0.5
1.110922956824414,528.0,21.44163090128753,2.450778412017165,0.0002053589999999,real,0.5
1.1417041974416289,0.0,0.0,0.0,0.0002053589999999,real,0.5
1.204199443543439,52.0,0.0,0.0,0.0002053589999999,real,0.5
1.2069977381451584,528.0,5.360407725321883,0.6126946030042912,0.0002058352499999,real,0.5
1.3012069897315643,0.0,0.0,0.0,0.0002058352499999,real,0.5
1.6687163474046498,0.0,0.0,0.0,0.0002058352499999,real,0.5
1.7619928341236748,0.0,0.0,0.0,0.0002058352499999,real,0.5
1.7675894233271132,0.0,0.0,0.0,0.0002058352499999,real,0.5
1.856202085710081,0.0,0.0,0.0,0.0002058352499999,real,0.5
1.949478572429106,0.0,0.0,0.0,0.0002058352499999,real,0.5
2.0875277727735173,0.0,0.0,0.0,0.0002058352499999,real,0.5
2.229308032586605,0.0,0.0,0.0,0.0002058352499999,real,0.5
2.3225845193056296,528.0,5.360407725321883,0.6126946030042912,0.0002217102499999,real,0.5
2.326315578774306,0.0,0.0,0.0,0.0002217102499999,real,0.5
2.5082047278767226,0.0,0.0,0.0,0.0002217102499999,real,0.5
2.6882283472448014,0.0,0.0,0.0,0.0002217102499999,real,0.5
2.7880341880342216,0.0,0.0,0.0,0.0002217102499999,real,0.5
2.882243439620204,0.0,0.0,0.0,0.0002217102499999,real,0.5
2.882243439620204,0.0,0.0,0.0,0.0002217102499999,real,0.5
2.987645869613062,0.0,0.0,0.0,0.0002217102499999,real,0.5
3.0482755859805346,0.0,0.0,0.0,0.0002217102499999,real,0.5
3.068796413058678,0.0,0.0,0.0,0.0002217102499999,real,0.5
3.2534838567623896,0.0,0.0,0.0,0.0002217102499999,real,0.5
3.5342460817868453,0.0,0.0,0.0,0.0002217102499999,real,0.5
3.620993214435899,0.0,0.0,0.0,0.0002217102499999,real,0.5
3.633119157709309,0.0,0.0,0.0,0.0002217102499999,real,0.5
3.815008306811301,0.0,0.0,0.0,0.0002217102499999,real,0.5
3.9073520286633694,0.0,0.0,0.0,0.0002217102499999,real,0.5
4.000628515382394,0.0,0.0,0.0,0.0002217102499999,real,0.5
4.001561280249775,0.0,0.0,0.0,0.0002217102499999,real,0.5
4.370003402790242,52.0,0.0,0.0,0.0002217102499999,real,0.5
4.376532756860637,0.0,0.0,0.0,0.0002217102499999,real,0.5
4.469809243579662,0.0,0.0,0.0,0.0002217102499999,real,0.5
4.6582277467520505,0.0,0.0,0.0,0.0002217102499999,real,0.5
4.747773174002399,0.0,0.0,0.0,0.0002217102499999,real,0.5
4.846646249924863,0.0,0.0,0.0,0.0002217102499999,real,0.5
5.026669869292517,0.0,0.0,0.0,0.0002217102499999,real,0.5
5.305566564583059,211.0,2.144163090128753,0.2450778412017165,0.0002406967499999,real,0.5
5.40257411077076,0.0,0.0,0.0,0.0002406967499999,real,0.5
5.58912708420881,0.0,0.0,0.0,0.0002406967499999,real,0.5
5.680538041193497,0.0,0.0,0.0,0.0002406967499999,real,0.5
5.784074941452017,0.0,0.0,0.0,0.0002406967499999,real,0.5
5.959434736483614,0.0,0.0,0.0,0.0002406967499999,real,0.5
6.341868332032253,316.0,3.2162446351931293,0.3676167618025747,0.0002797492499999,real,0.5
6.425817170079164,0.0,0.0,0.0,0.0002797492499999,real,0.5
6.428615464680883,0.0,0.0,0.0,0.0002797492499999,real,0.5
6.798923116955687,0.0,0.0,0.0,0.0002797492499999,real,0.5
6.892199603674713,0.0,0.0,0.0,0.0002797492499999,real,0.5
7.449992994255372,422.0,4.288326180257506,0.490155682403433,0.00035569525,real,0.5
7.456522348325343,0.0,0.0,0.0,0.00035569525,real,0.5
7.641209792029479,0.0,0.0,0.0,0.00035569525,real,0.5
7.641209792029479,0.0,0.0,0.0,0.00035569525,real,0.5
8.3939510398525,528.0,5.360407725321883,0.6126946030042912,0.0004838065,real,0.5
8.483496467102848,0.0,0.0,0.0,0.0004838065,real,0.5
8.583302307892268,0.0,0.0,0.0,0.0004838065,real,0.5
9.50207570207562,528.0,5.360407725321883,0.6126946030042912,0.00064017525,real,0.5
9.596284953662025,0.0,0.0,0.0,0.00064017525,real,0.5
10.446966512540126,528.0,5.360407725321883,0.6126946030042912,0.0007849552499999,real,0.5
22.64566544566528,528.0,316.2640557939911,36.14898157725318,0.1232767727499997,real,0.5
22.841546067775443,528.0,316.2640557939911,36.14898157725318,0.1252436852500001,real,0.5
23.556043956043894,528.0,328.28393768375486,37.52285407725318,0.132690907472223,real,0.5
23.767781580896145,528.0,328.28393768375486,37.52285407725318,0.1348978519166661,real,0.5
23.95526731920157,528.0,319.4803004291842,36.51659833905576,0.1367996134166663,real,0.5
24.470153525891188,528.0,326.9848712446348,37.37437078326176,0.1421450434166676,real,0.5
24.888032186392675,528.0,325.9127896995705,37.25183186266091,0.1464691394166663,real,0.5
24.953325727096203,528.0,326.9848712446348,37.37437078326176,0.1471470019166679,real,0.5
25.009291619127616,528.0,328.28393768375486,37.52285407725318,0.1477303352500007,real,0.5
25.40571668768401,528.0,326.9848712446348,37.37437078326176,0.1518459290000025,real,0.5
25.8860905942873,528.0,326.9848712446348,37.37437078326176,0.1568330602500012,real,0.5
25.91314077543584,528.0,326.9848712446348,37.37437078326176,0.1571138890000012,real,0.5
25.91314077543584,528.0,328.28393768375486,37.52285407725318,0.1571138890000012,real,0.5
25.922468424107528,528.0,328.28393768375486,37.52285407725318,0.1572111112222211,real,0.5
26.338481554875106,528.0,316.2640557939911,36.14898157725318,0.1613884587222245,real,0.5
26.563277887868143,528.0,316.2640557939911,36.14898157725318,0.1636457249722244,real,0.5
26.75542745050921,528.0,326.9848712446348,37.37437078326176,0.1656405774722212,real,0.5
26.85150223182995,528.0,328.28393768375486,37.52285407725318,0.1666419663611108,real,0.5
26.93918212934596,528.0,325.9127896995705,37.25183186266091,0.1675492543611113,real,0.5
27.038055205268424,528.0,328.28393768375486,37.52285407725318,0.168579809916669,real,0.5
27.2675153625971,528.0,316.2640557939911,36.14898157725318,0.1708839074166656,real,0.5
27.751620328669496,528.0,316.2640557939911,36.14898157725318,0.1757449911666678,real,0.5
27.751620328669496,528.0,316.2640557939911,36.14898157725318,0.1757449911666678,real,0.5
27.782401569286712,528.0,323.7686266094417,37.00675402145919,0.1760614116666669,real,0.5
27.963357953521747,528.0,328.28393768375486,37.52285407725318,0.1779475227777776,real,0.5
27.963357953521747,528.0,326.9848712446348,37.37437078326176,0.1779475227777776,real,0.5
28.06036549970987,528.0,328.28393768375486,37.52285407725318,0.1789586338888913,real,0.5
28.20867511359293,528.0,300.18283261802543,34.31089776824031,0.1803721438888882,real,0.5
28.67505754718848,528.0,300.18283261802543,34.31089776824031,0.1848171438888882,real,0.5
28.72915790948556,528.0,326.9848712446348,37.37437078326176,0.1853788013888882,real,0.5
28.80284633399382,528.0,321.624463519313,36.761676180257474,0.1861312763888899,real,0.5
28.80471186372816,528.0,316.2640557939911,36.14898157725318,0.1861500088888895,real,0.5
28.80471186372816,528.0,314.1198927038623,35.90390373605146,0.1861500088888895,real,0.5
28.99033207229925,528.0,328.28393768375486,37.52285407725318,0.1880847311111123,real,0.5
29.088272383354333,528.0,328.28393768375486,37.52285407725318,0.1891055644444459,real,0.5
29.140507215917072,528.0,300.18283261802543,34.31089776824031,0.1896034044444462,real,0.5
29.36157248944144,528.0,300.18283261802543,34.31089776824031,0.1917103344444469,real,0.5
29.7365439660523,528.0,300.18283261802543,34.31089776824031,0.1952841144444473,real,0.5
29.73747673091925,528.0,316.2640557939911,36.14898157725318,0.195293480694445,real,0.5
29.74027502552097,528.0,310.9036480686692,35.53628697424889,0.1953211031944464,real,0.5
29.83355151224,528.0,319.4803004291842,36.51659833905576,0.1962672531944456,real,0.5
29.923096939490343,528.0,326.9848712446348,37.37437078326176,0.1971968931944456,real,0.5
29.925895234092067,528.0,326.9848712446348,37.37437078326176,0.1972259444444471,real,0.5
30.03036489921712,528.0,328.28393768375486,37.52285407725318,0.1983148333333323,real,0.5
30.06580996417039,528.0,289.46201716738165,33.08550856223172,0.1986405883333324,real,0.5
30.48275585980492,528.0,299.1107510729611,34.18835884763945,0.2026002260833335,real,0.5
30.540587281570676,528.0,289.46201716738165,33.08550856223172,0.2031317210833326,real,0.5
30.67490542244641,528.0,300.18283261802543,34.31089776824031,0.2044118810833347,real,0.5
30.857727336415785,528.0,316.2640557939911,36.14898157725318,0.2062476660833338,real,0.5
30.857727336415785,528.0,307.68740343347605,35.168670212446315,0.2062476660833338,real,0.5
30.86145839588446,528.0,317.3361373390555,36.27152049785404,0.2062852580833329,real,0.5
30.952869352869147,528.0,326.9848712446348,37.37437078326176,0.2072342655833325,real,0.5
30.96499529614256,528.0,326.9848712446348,37.37437078326176,0.2073601543333318,real,0.5
31.003238655697547,528.0,289.46201716738165,33.08550856223172,0.2077116268333332,real,0.5
31.22896775355797,528.0,289.46201716738165,33.08550856223172,0.2097861718333348,real,0.5
31.514393802918484,528.0,289.46201716738165,33.08550856223172,0.2124093568333351,real,0.5
31.69535018715352,528.0,300.18283261802543,34.31089776824031,0.2141340168333348,real,0.5
31.69535018715352,528.0,296.9665879828323,33.943281006437736,0.2141340168333348,real,0.5
31.787693909005164,528.0,316.2640557939911,36.14898157725318,0.215061275583332,real,0.5
31.79049220360688,528.0,304.47115879828294,34.80105345064374,0.2150883265833334,real,0.5
31.925743109349572,528.0,278.7412017167379,31.860119356223144,0.2162853015833333,real,0.5
31.97704517704493,528.0,326.9848712446348,37.37437078326176,0.2168179078333317,real,0.5
32.069388898897,528.0,316.2640557939911,36.14898157725318,0.2177451665833331,real,0.5
32.160799855881685,528.0,278.7412017167379,31.860119356223144,0.2185541565833328,real,0.5
32.440629316039185,528.0,288.3899356223173,32.96296964163087,0.2211163815833344,real,0.5
32.53856962709427,528.0,294.8224248927036,33.698203165236016,0.2220331628333345,real,0.5
32.54043515682861,528.0,289.46201716738165,33.08550856223172,0.2220503078333341,real,0.5
32.72139154106364,528.0,316.2640557939911,36.14898157725318,0.2238673603333337,real,0.5
32.81839908725134,528.0,300.18283261802543,34.31089776824031,0.2247919203333321,real,0.5
32.85850797654067,528.0,268.02038626609414,30.63473015021456,0.225133232833333,real,0.5
32.90887727936907,528.0,301.2549141630898,34.43343668884116,0.2256150073333338,real,0.5
33.0021537660881,528.0,316.2640557939911,36.14898157725318,0.226551632333333,real,0.5
33.0991613122758,528.0,268.02038626609414,30.63473015021456,0.2273771323333315,real,0.5
33.32955423447228,528.0,278.7412017167379,31.860119356223144,0.229416117333334,real,0.5
33.37712524269896,528.0,286.24577253218854,32.71789180042915,0.2298484570833334,real,0.5
33.655089173121695,528.0,289.46201716738165,33.08550856223172,0.2324030620833315,real,0.5
33.75116395444244,528.0,292.6782618025748,33.4531253240343,0.2332958403333321,real,0.5
33.75489501391154,528.0,316.2640557939911,36.14898157725318,0.2333333053333355,real,0.5
33.756760543645875,528.0,300.18283261802543,34.31089776824031,0.233351085333335,real,0.5
33.79780219780216,528.0,268.02038626609414,30.63473015021456,0.2337003353333339,real,0.5
33.93398586841224,528.0,300.18283261802543,34.31089776824031,0.2349982753333356,real,0.5
34.026329590263884,528.0,268.02038626609414,30.63473015021456,0.2357840878333333,real,0.5
34.21847915290537,528.0,268.02038626609414,30.63473015021456,0.2374192128333343,real,0.5
34.30615905042138,528.0,275.5249570815448,31.492502594420568,0.2381862293333347,real,0.5
34.311755639624394,528.0,284.10160944205984,32.47281395922744,0.2382367118333335,real,0.5
34.49364478872681,528.0,289.46201716738165,33.08550856223172,0.2399083493333349,real,0.5
34.72963430012588,528.0,257.29957081545035,29.409340944205976,0.2418362093333326,real,0.5
34.774407013751265,528.0,290.53409871244605,33.20804748283258,0.2422492133333346,real,0.5
34.86675073560333,528.0,300.18283261802543,34.31089776824031,0.243129323333336,real,0.5
34.86675073560333,528.0,300.18283261802543,34.31089776824031,0.243129323333336,real,0.5
34.86861626533767,528.0,257.29957081545035,29.409340944205976,0.2431445633333356,real,0.5
35.14284913629174,528.0,266.9483047210298,30.512191229613705,0.2454688538333347,real,0.5
35.23892391761248,528.0,268.02038626609414,30.63473015021456,0.2462864163333352,real,0.5
35.33313316919889,528.0,273.380793991416,31.24742475321885,0.2471041375833361,real,0.5
35.431073480253545,528.0,281.957446351931,32.22773611802572,0.2479809138333324,real,0.5
35.61855921855897,528.0,289.46201716738165,33.08550856223172,0.2497039863333326,real,0.5
35.61949198342636,528.0,289.46201716738165,33.08550856223172,0.2497125588333344,real,0.5
35.66986128625476,528.0,246.57875536480665,28.1839517381974,0.250106893833335,real,0.5
35.79951560279444,528.0,300.18283261802543,34.31089776824031,0.2513426038333362,real,0.5
36.08307612242018,528.0,264.80414163090103,30.267113388411985,0.2537266478333332,real,0.5
36.11852118737345,528.0,256.227489270386,29.28680202360512,0.2540150013333333,real,0.5
36.11852118737345,528.0,246.57875536480665,28.1839517381974,0.2540150013333333,real,0.5
36.2649652715226,528.0,268.02038626609414,30.63473015021456,0.2552611888333345,real,0.5
36.358241758241626,528.0,271.2366309012873,31.00234691201713,0.2560644638333338,real,0.5
36.45338377469499,528.0,279.81328326180227,31.982658276824,0.2569097123333327,real,0.5
36.5475930262814,528.0,246.57875536480665,28.1839517381974,0.2576472648333335,real,0.5
36.5979623291098,528.0,257.29957081545035,29.409340944205976,0.2580587448333342,real,0.5
36.64460057246952,528.0,289.46201716738165,33.08550856223172,0.2584873698333358,real,0.5
36.82555695670455,528.0,289.46201716738165,33.08550856223172,0.2601504348333354,real,0.5
37.05128605456456,528.0,257.29957081545035,29.409340944205976,0.2619944748333335,real,0.5
37.10445365199468,528.0,254.08332618025725,29.041724182403403,0.2624233855833353,real,0.5
37.10445365199468,528.0,262.6599785407723,30.02203554721027,0.2624233855833353,real,0.5
37.19679737384632,528.0,247.65083690987095,28.306490658798253,0.2631494763333331,real,0.5
37.20146119818237,528.0,268.02038626609414,30.63473015021456,0.2631891638333339,real,0.5
37.38521587701913,528.0,269.09246781115854,30.75726907081542,0.2647591060833349,real,0.5
37.57176885045718,528.0,278.7412017167379,31.860119356223144,0.2664101060833334,real,0.5
37.5745671450589,528.0,289.46201716738165,33.08550856223172,0.2664358235833347,real,0.5
37.75365799955959,528.0,246.57875536480665,28.1839517381974,0.2678379035833347,real,0.5
37.94114373786503,528.0,256.227489270386,29.28680202360512,0.2693631418333349,real,0.5
38.13329330050652,528.0,249.79499999999973,28.55156849999997,0.2708870783333359,real,0.5
