Time_sec,Speed_kmh,Speed_ms,MotorRPM,Incline_deg,Power_Rolling_W,Power_Aero_W,Power_Accel_W,Power_Gradient_W,Power_Wheel_W,Power_Motor_W,Power_Electrical_W,CumulativeEnergy_Wh
0,2.45077841201716,0.680771781115879,528,0.5,7.21264086656652,0.0231895315301136,-1794.63190740995,10.4902277598525,-1776.905849252,0,0,0
0.0848816029142914,0.122538920600858,0.0340385890557939,158,0.5,0.360632043328326,2.89869144126419e-06,-75.8998741567244,0.524511387992627,-75.014727826712,0,0,0
0.188418503172388,4.28886222103004,1.19135061695279,528,0.5,12.6221215164914,0.124281395544202,-2276.99622470173,18.3578985797419,-2245.89192320996,0,0,0
0.203342741047517,0,0,0,0.5,0,0,-0,0,0,0,0,0
0.270501811485384,0.735233523605149,0.204231534334764,528,0.5,2.16379225996995,0.000626117351313066,0,3.14706832795576,NaN,0,0,0
0.456122020056477,0,0,0,0.5,0,0,0,0,NaN,0,0,0
0.740615304549609,0,0,0,0.5,0,0,0,0,NaN,0,0,0
0.829227966932577,0,0,0,0.5,0,0,0,0,NaN,0,0,0
0.829227966932577,0,0,0,0.5,0,0,0,0,NaN,0,0,0
1.01484817550367,0,0,0,0.5,0,0,0,0,NaN,0,0,0
1.11092295682441,2.45077841201716,0.680771781115879,528,0.5,7.21264086656652,0.0231895315301136,0,10.4902277598525,NaN,0,0,0
1.14170419744163,0,0,0,0.5,0,0,0,0,NaN,0,0,0
1.20419944354344,0,0,52,0.5,0,0,0,0,NaN,0,0,0
1.20699773814516,0.612694603004291,0.17019294527897,528,0.5,1.80316021664163,0.000362336430158024,0,2.62255693996314,NaN,0,0,0
1.30120698973156,0,0,0,0.5,0,0,0,0,0,0,0,0
1.66871634740465,0,0,0,0.5,0,0,0,0,0,0,0,0
1.76199283412367,0,0,0,0.5,0,0,0,0,0,0,0,0
1.76758942332711,0,0,0,0.5,0,0,0,0,0,0,0,0
1.85620208571008,0,0,0,0.5,0,0,0,0,0,0,0,0
1.94947857242911,0,0,0,0.5,0,0,-0,0,0,0,0,0
2.08752777277352,0,0,0,0.5,0,0,-0,0,0,0,0,0
2.22930803258661,0,0,0,0.5,0,0,-0,0,0,0,0,0
2.32258451930563,0.612694603004291,0.17019294527897,528,0.5,1.80316021664163,0.000362336430158024,-134.151234951723,2.62255693996314,-129.725155458689,0,0,0
2.32631557877431,0,0,0,0.5,0,0,-0,0,0,0,0,0
2.50820472787672,0,0,0,0.5,0,0,0,0,NaN,0,0,0
2.6882283472448,0,0,0,0.5,0,0,0,0,NaN,0,0,0
2.78803418803422,0,0,0,0.5,0,0,0,0,NaN,0,0,0
2.8822434396202,0,0,0,0.5,0,0,0,0,NaN,0,0,0
2.8822434396202,0,0,0,0.5,0,0,0,0,NaN,0,0,0
2.98764586961306,0,0,0,0.5,0,0,0,0,NaN,0,0,0
3.04827558598053,0,0,0,0.5,0,0,0,0,NaN,0,0,0
3.06879641305868,0,0,0,0.5,0,0,0,0,NaN,0,0,0
3.25348385676239,0,0,0,0.5,0,0,0,0,NaN,0,0,0
3.53424608178685,0,0,0,0.5,0,0,0,0,NaN,0,0,0
3.6209932144359,0,0,0,0.5,0,0,0,0,0,0,0,0
3.63311915770931,0,0,0,0.5,0,0,0,0,0,0,0,0
3.8150083068113,0,0,0,0.5,0,0,0,0,0,0,0,0
3.90735202866337,0,0,0,0.5,0,0,0,0,0,0,0,0
4.00062851538239,0,0,0,0.5,0,0,0,0,0,0,0,0
4.00156128024978,0,0,0,0.5,0,0,0,0,0,0,0,0
4.37000340279024,0,0,52,0.5,0,0,0,0,0,0,0,0
4.37653275686064,0,0,0,0.5,0,0,0,0,0,0,0,0
4.46980924357966,0,0,0,0.5,0,0,0,0,0,0,0,0
4.65822774675205,0,0,0,0.5,0,0,0,0,0,0,0,0
4.7477731740024,0,0,0,0.5,0,0,-0,0,0,0,0,0
4.84664624992486,0,0,0,0.5,0,0,-0,0,0,0,0,0
5.02666986929252,0,0,0,0.5,0,0,-0,0,0,0,0,0
5.30556656458306,0.245077841201716,0.0680771781115879,211,0.5,0.721264086656652,2.31895315301136e-05,-0.560832922027184,1.04902277598525,1.20947713014625,1.4229142707603,1.58101585640033,0.000122483360431111
5.40257411077076,0,0,0,0.5,0,0,-0,0,0,0,0,0.000122483360431111
5.58912708420881,0,0,0,0.5,0,0,-0,0,0,0,0,0.000122483360431111
5.6805380411935,0,0,0,0.5,0,0,-0,0,0,0,0,0.000122483360431111
5.78407494145202,0,0,0,0.5,0,0,-0,0,0,0,0,0.000122483360431111
5.95943473648361,0,0,0,0.5,0,0,-0,0,0,0,0,0.000122483360431111
6.34186833203225,0.367616761802575,0.102115767167382,316,0.5,1.08189612998498,7.82646689141333e-05,-3.03497243544467,1.57353416397788,-0.379463876812894,0,0,0.000122483360431111
6.42581717007916,0,0,0,0.5,0,0,-0,0,0,0,0,0.000122483360431111
6.42861546468088,0,0,0,0.5,0,0,-0,0,0,0,0,0.000122483360431111
6.79892311695569,0,0,0,0.5,0,0,-0,0,0,0,0,0.000122483360431111
6.89219960367471,0,0,0,0.5,0,0,0,0,NaN,0,0,0.000122483360431111
7.44999299425537,0.490155682403433,0.136154356223176,422,0.5,1.4425281733133,0.000185516252240908,0,2.09804555197051,NaN,0,0,0.000122483360431111
7.45652234832534,0,0,0,0.5,0,0,0,0,NaN,0,0,0.000122483360431111
7.64120979202948,0,0,0,0.5,0,0,0,0,NaN,0,0,0.000122483360431111
7.64120979202948,0,0,0,0.5,0,0,0,0,NaN,0,0,0.000122483360431111
8.3939510398525,0.612694603004291,0.17019294527897,528,0.5,1.80316021664163,0.000362336430158024,0,2.62255693996314,NaN,0,0,0.000122483360431111
8.48349646710285,0,0,0,0.5,0,0,0,0,NaN,0,0,0.000122483360431111
8.58330230789227,0,0,0,0.5,0,0,0,0,NaN,0,0,0.000122483360431111
9.50207570207562,0.612694603004291,0.17019294527897,528,0.5,1.80316021664163,0.000362336430158024,0,2.62255693996314,NaN,0,0,0.000122483360431111
9.59628495366202,0,0,0,0.5,0,0,0,0,NaN,0,0,0.000122483360431111
10.4469665125401,0.612694603004291,0.17019294527897,528,0.5,1.80316021664163,0.000362336430158024,-5.36856914414354,2.62255693996314,-0.942489651108616,0,0,0.000122483360431111
22.6456654456653,36.1489815772532,10.0413837714592,528,0.5,106.386452781856,74.4162936894249,-627.077389354649,154.730859457825,-291.543783425543,0,0,0.000122483360431111
22.8415460677754,36.1489815772532,10.0413837714592,528,0.5,106.386452781856,74.4162936894249,-199.90575240574,154.730859457825,135.627853523366,159.562180615725,177.29131179525,0.00976913126298123
23.5560439560439,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,-222.785586291197,160.611536130726,131.483320663788,154.686259604457,171.87362178273,0.0438811700998731
23.7677815808961,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,-159.732740385974,160.611536130726,194.536166569012,228.866078316484,254.295642573871,0.0588378243690033
23.9552673192016,36.5165983390558,10.1434995386266,528,0.5,107.468348911841,76.7097876355077,308.953392376296,156.304393621803,649.435922545448,764.042261818174,848.935846464638,0.103049869910216
24.4701535258912,37.3743707832618,10.3817696620172,528,0.5,109.992773215139,82.2434852536986,259.381116906887,159.975973337751,611.593348713477,719.521586721737,799.468429690819,0.217392999668996
24.8880321863927,37.2518318626609,10.3477310729614,528,0.5,109.632141171811,81.4371823437051,107.809719575749,159.451461949759,458.330505041024,539.212358871793,599.124843190881,0.286937857153932
24.9533257270962,37.3743707832618,10.3817696620172,528,0.5,109.992773215139,82.2434852536986,108.164356811195,159.975973337751,460.376588617784,541.619516020923,601.79946224547,0.2978527509549
25.0092916191276,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,2280,160.611536130726,Inf,Inf,2280,0.333297815908129
25.405716687684,37.3743707832618,10.3817696620172,528,0.5,109.992773215139,82.2434852536986,2280,159.975973337751,Inf,Inf,2280,0.584367025993844
25.8860905942873,37.3743707832618,10.3817696620172,528,0.5,109.992773215139,82.2434852536986,2280,159.975973337751,Inf,Inf,2280,0.888603833509262
25.9131407754358,37.3743707832618,10.3817696620172,528,0.5,109.992773215139,82.2434852536986,2280,159.975973337751,Inf,Inf,2280,0.905735614903336
25.9131407754358,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,2280,160.611536130726,Inf,Inf,2280,0.905735614903336
25.9224684241075,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,2280,160.611536130726,Inf,Inf,2280,0.911643125728739
26.3384815548751,36.1489815772532,10.0413837714592,528,0.5,106.386452781856,74.4162936894249,2280,154.730859457825,Inf,Inf,2280,1.17511810854821
26.5632778878681,36.1489815772532,10.0413837714592,528,0.5,106.386452781856,74.4162936894249,2280,154.730859457825,Inf,Inf,2280,1.3174891194438
26.7554274505092,37.3743707832618,10.3817696620172,528,0.5,109.992773215139,82.2434852536986,2280,159.975973337751,Inf,Inf,2280,1.4391838424498
26.85150223183,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,2280,160.611536130726,Inf,Inf,2280,1.50003120395294
26.939182129346,37.2518318626609,10.3477310729614,528,0.5,109.632141171811,81.4371823437051,0,159.451461949759,NaN,0,0,1.50003120395294
27.0380552052684,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,0,160.611536130726,NaN,0,0,1.50003120395294
27.2675153625971,36.1489815772532,10.0413837714592,528,0.5,106.386452781856,74.4162936894249,0,154.730859457825,NaN,0,0,1.50003120395294
27.7516203286695,36.1489815772532,10.0413837714592,528,0.5,106.386452781856,74.4162936894249,0,154.730859457825,NaN,0,0,1.50003120395294
27.7516203286695,36.1489815772532,10.0413837714592,528,0.5,106.386452781856,74.4162936894249,0,154.730859457825,NaN,0,0,1.50003120395294
27.7824015692867,37.0067540214592,10.2796538948498,528,0.5,108.910877085154,79.840420771136,0,158.402439173773,NaN,0,0,1.50003120395294
27.9633579535217,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,0,160.611536130726,NaN,0,0,1.50003120395294
27.9633579535217,37.3743707832618,10.3817696620172,528,0.5,109.992773215139,82.2434852536986,0,159.975973337751,NaN,0,0,1.50003120395294
28.0603654997099,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,0,160.611536130726,NaN,0,0,1.50003120395294
28.2086751135929,34.3108977682403,9.53080493562231,528,0.5,100.976972131931,63.6320745186316,0,146.863188637936,NaN,0,0,1.50003120395294
28.6750575471885,34.3108977682403,9.53080493562231,528,0.5,100.976972131931,63.6320745186316,0,146.863188637936,-Inf,0,0,1.50003120395294
28.7291579094856,37.3743707832618,10.3817696620172,528,0.5,109.992773215139,82.2434852536986,0,159.975973337751,-Inf,0,0,1.50003120395294
28.8028463339938,36.7616761802575,10.2115767167382,528,0.5,108.189612998498,78.2646689141333,0,157.353416397788,-Inf,0,0,1.50003120395294
28.8047118637282,36.1489815772532,10.0413837714592,528,0.5,106.386452781856,74.4162936894249,0,154.730859457825,-Inf,0,0,1.50003120395294
28.8047118637282,35.9039037360515,9.97330659334763,528,0.5,105.665188695199,72.9129801315393,0,153.68183668184,-Inf,0,0,1.50003120395294
28.9903320722992,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,0,160.611536130726,-Inf,0,0,1.50003120395294
29.0882723833543,37.5228540772532,10.4230150214592,528,0.5,110.429759549356,83.2276112749038,0,160.611536130726,-Inf,0,0,1.50003120395294
29.1405072159171,34.3108977682403,9.53080493562231,528,0.5,100.976972131931,63.6320745186316,0,146.863188637936,-Inf,0,0,1.50003120395294
29.3615724894414,34.3108977682403,9.53080493562231,528,0.5,100.976972131931,63.6320745186316,0,146.863188637936,-Inf,0,0,1.50003120395294
29.7365439660523,34.3108977682403,9.53080493562231,528,0.5,100.976972131931,63.6320745186316,0,146.863188637936,-Inf,0,0,1.50003120395294
